,id,text,user.id,user.location,polarity,subjectivity
0,911531854305652738,RT  Brexit will turn EU from equal partner to competitor with better trade deals worldwide amp a more attractive market 500 vs 65,880874466393411585,United Kingdom,0.45,0.5625
1,911531855555506177,RT  This will be my final comment on Brexit as it is now confirmed it is not happening Now we wait for our imposed migrant,707546304784769024,United Kingdom,0.2,1.0
2,911531855878295552,RT  Any deal with Islamists terrorists in Tehran is illegalIf EU politicians love islamists invite them to Europe Iran i,888726432221773824,Unknown,0.5,0.6
3,911531857266610176,RT  Any deal with Islamists terrorists in Tehran is illegalIf EU politicians love islamists invite them to Europe Iran i,883617751666835458,Unknown,0.5,0.6
4,911531866280341504,RT  Any deal with Islamists terrorists in Tehran is illegalIf EU politicians love islamists invite them to Europe Iran i,889420557590028288,Unknown,0.5,0.6
5,911531868943773696,RT  This is what I wanted TheresaMay to say in florencespeech instead of asking to be EUs doormatFollowFarage ,791122661900443648,United Kingdom,0.0,0.0
6,911531869916860417,Popular Places to Visit on the Way from Vienna to Prague  travel europe ,706208083970813952,European Union,0.6,0.9
7,911531874421542914,UK to develop separate financial services regulatory framework post Brexit  ,366481337,Unknown,0.0,0.0
8,911531875847622656,RT  El Brexit se va a producir y luego habr un revulsivo por parte de la opinin pblica  ,88164798,European Union,0.0,0.0
9,911531876237668352,RT  BrexitChallenge Now 1200 How Brexit  brings memy businessstaff concrete benefits 200 each WEEK 3 Please RT OLD https,2921336697,Unknown,0.125,0.25
10,911531876631883776,RT  Did Nigel Farage weaken our brexit hand by walking away from the UKIP leadershipPlease Retweet,258324826,United States,0.0,0.0
11,911531877034549249,Brexit TheresaMay says she wants EU to succeed so will she now sack any minister who trots out antiEU claptrap ,405590291,United Kingdom,0.2,0.1
12,911531876917096448,RT  El ansia independentista d los catalanes es fruto de un adoctrinamiento perfectamente orquestado por CIU durante m ,3091769284,European Union,0.0,0.0
13,911531887407042565,RT  To be clear  whatever May says in Florence she doesnt represent the majority of us Brits A majority now wan,796447492938330112,United Kingdom,-0.049999999999999996,0.26666666666666666
